fips,acs_population,median_income,median_gross_rent,housing_units,vacancy_rate,renter_share,unemployment_rate
46123,5611.0,58987.0,820.0,2762.0,0.18247646632874728,0.3157661647475642,0.01818870784388026
46125,8882.0,75771.0,742.0,3913.0,0.08816764630718119,0.21048206278026907,0.02160559203558568
46127,17081.0,89636.0,1069.0,7588.0,0.036636794939377965,0.26908344733242134,0.029609544468546637
46129,5271.0,65026.0,926.0,2932.0,0.17633015006821282,0.23768115942028986,0.034792806880375296
46135,23414.0,72821.0,781.0,10616.0,0.08675584024114544,0.273233625580196,0.01377503591650469
46137,2377.0,53958.0,734.0,885.0,0.1694915254237288,0.42857142857142855,0.23494486853265478
47001,79153.0,66183.0,1031.0,35880.0,0.08709587513935341,0.28304075713631505,0.03742668029919819
47003,52237.0,67225.0,1051.0,20488.0,0.04797930495900039,0.28136375288387594,0.0421691403834261
47005,16006.0,51746.0,768.0,8569.0,0.16898121134321392,0.2485605954219913,0.05286940804338003
47007,15032.0,54720.0,830.0,5912.0,0.17828146143437076,0.17496912309592424,0.01823168764117457
47009,139333.0,77365.0,1090.0,61850.0,0.10231204527081648,0.230143006375851,0.03538485664998645
47011,111065.0,66552.0,1030.0,45949.0,0.07297220831791769,0.32740163395624,0.06571387272792975
47013,39761.0,51557.0,716.0,20559.0,0.16406440001945619,0.30798324217386247,0.04955088929867349
47015,14818.0,59443.0,908.0,6453.0,0.10491244382457772,0.21623961218836565,0.028000605418495535
47017,28641.0,51787.0,755.0,13100.0,0.11900763358778627,0.25457066112122,0.04519543973941368
47019,56712.0,50135.0,739.0,28118.0,0.1313393555729426,0.24806550665301944,0.062350787840203724
47021,41829.0,89852.0,1345.0,17449.0,0.06705255315490859,0.18465507709318754,0.0434395980614468
47023,17611.0,59341.0,756.0,7279.0,0.1166369006731694,0.24572317262830481,0.0412777704745629
47025,32466.0,49379.0,745.0,15512.0,0.11526560082516761,0.27819877586709413,0.04495960660344222
47027,7670.0,39972.0,557.0,4005.0,0.1295880149812734,0.2561675272518646,0.10047846889952153
47029,36813.0,48016.0,798.0,17957.0,0.13632566687085815,0.25475530337223545,0.042325091404846006
47031,59710.0,61505.0,913.0,25467.0,0.0930616091412416,0.3099969693033727,0.03561223031861695
47033,13944.0,62165.0,857.0,6134.0,0.10205412455167917,0.2837690631808279,0.028905911258852435
47035,63553.0,60375.0,839.0,31455.0,0.10364012080750278,0.19794289767689308,0.050562024092502315
47037,715388.0,77853.0,1582.0,357113.0,0.09018433941077474,0.47207662500346254,0.04487473311467934
47039,11579.0,45375.0,757.0,6591.0,0.30693369746624183,0.2565674255691769,0.07161857990587273
47041,20959.0,53153.0,839.0,10155.0,0.1480059084194978,0.2739251040221914,0.05642600042345967
47043,55983.0,75003.0,1015.0,23657.0,0.08031449465274548,0.1972698441880774,0.03370747106278499
47045,36508.0,58154.0,782.0,16311.0,0.09453742872907854,0.38140700115105963,0.04680066603235014
47047,43267.0,88456.0,902.0,18494.0,0.06942792256948199,0.18570598489250437,0.047570616245203645
47049,19309.0,51149.0,709.0,9260.0,0.15431965442764578,0.1743072404546035,0.046539862403885066
47051,43990.0,63494.0,894.0,20110.0,0.13252113376429636,0.22596732588134136,0.02846474638735331
47053,50869.0,62755.0,819.0,22617.0,0.09979219171419729,0.31173870333988213,0.04979748454487316
47055,30620.0,62307.0,862.0,14221.0,0.15209900850854371,0.26695969480842596,0.043991795742273146
47057,24266.0,50538.0,746.0,11835.0,0.18377693282636248,0.2287784679089027,0.04677754677754678
47059,71628.0,56194.0,737.0,32697.0,0.13141878459797535,0.22890845070422536,0.05732664837763693
47061,13819.0,47593.0,636.0,6240.0,0.17291666666666666,0.1629529161015307,0.08962347534028638
47063,65669.0,55454.0,857.0,28095.0,0.06937177433707065,0.30241719574695936,0.05261239770731869
47065,376192.0,76183.0,1253.0,168013.0,0.08232696279454566,0.3609394153624636,0.043687362471856186
47067,6852.0,34960.0,622.0,3675.0,0.23047619047619047,0.2538896746817539,0.06291007333076032
47069,25433.0,46069.0,812.0,10750.0,0.15255813953488373,0.28298572996706917,0.09786476868327403
47071,27249.0,49956.0,775.0,15161.0,0.27438823296616316,0.22007090264521406,0.0472461273666093
47073,57964.0,56936.0,785.0,27445.0,0.14130078338495172,0.19875249289260408,0.07305135212301668
47075,17475.0,50472.0,762.0,8260.0,0.13232445520581113,0.39347007115948096,0.058683385579937304
47077,27980.0,55136.0,745.0,12963.0,0.15760240685026614,0.2681318681318681,0.06100618418853418
47079,32412.0,50613.0,761.0,17088.0,0.2127808988764045,0.2647190008920607,0.04832205098660521
47081,25436.0,68247.0,893.0,10711.0,0.119129866492391,0.2077371489136195,0.024200372313420208
47083,8353.0,59576.0,735.0,3954.0,0.15199797673242285,0.19027736355502536,0.03875545851528384
47085,19214.0,60616.0,862.0,8892.0,0.18567251461988304,0.21682088109377157,0.06918165989553104
47087,12029.0,47951.0,758.0,5854.0,0.18090194738640247,0.189155370177268,0.07642725598526703
47089,56864.0,66114.0,904.0,25632.0,0.14883739076154806,0.24178392996287298,0.0459189046866772
47091,18196.0,53129.0,674.0,8761.0,0.16699006962675494,0.2251301726500411,0.03160011490950876
47093,494148.0,74222.0,1261.0,218661.0,0.08010116115813977,0.3481500999274159,0.03524582952402447
47095,6579.0,28814.0,532.0,2494.0,0.17121090617481957,0.5224963715529753,0.049104563835932986
47097,24784.0,49879.0,774.0,10703.0,0.12874894889283378,0.35646112600536195,0.05571353343865192
47099,45385.0,54706.0,763.0,18730.0,0.09284570208222104,0.22447177917721148,0.04895577099310278
47101,12992.0,56285.0,708.0,5804.0,0.07184700206753963,0.18062001113792464,0.03670618807860971
47103,35946.0,64667.0,857.0,16291.0,0.08851513105395617,0.24176712236514245,0.04733238904627007
47105,58580.0,84185.0,1062.0,26043.0,0.07629689359904773,0.19724808779514466,0.02780181332530755
47107,54884.0,61470.0,803.0,24137.0,0.12093466462277831,0.24224714864737487,0.04861971155766849
47109,25970.0,53473.0,723.0,12327.0,0.19372110002433682,0.2026360800885401,0.058149857954545456
47111,26240.0,59177.0,846.0,10997.0,0.14331181231244886,0.26356013162084707,0.03416820036808834
47113,99295.0,60042.0,1123.0,44091.0,0.08931527976230977,0.3799217991183722,0.07025775394552435
47115,29250.0,61824.0,853.0,14058.0,0.15571205007824726,0.21459263627938327,0.0710240318383591
47117,36049.0,71049.0,946.0,14749.0,0.07641196013289037,0.23190427250036705,0.039162575475424635
47119,107791.0,76130.0,1300.0,46159.0,0.083472345588076,0.2909989126837801,0.023879781420765026
47121,13343.0,61375.0,875.0,6275.0,0.1657370517928287,0.19044890162368672,0.05469593378913278
47123,47695.0,56895.0,714.0,21764.0,0.09419224407278073,0.27843157147205033,0.043456367390100205
47125,234153.0,75613.0,1308.0,93445.0,0.06084862753491359,0.38123725201973585,0.05083113629139321
47127,6674.0,66469.0,841.0,3017.0,0.09214451441829632,0.17488134355604235,0.04493337465137899
47129,21361.0,65954.0,770.0,8566.0,0.1608685500817184,0.15108514190317196,0.050845410628019325
47131,30453.0,54613.0,770.0,14326.0,0.12557587602959655,0.31883132433942685,0.0417469968856592
47133,23065.0,48959.0,832.0,10406.0,0.12829137036325197,0.23073531032962188,0.031655992680695334
47135,8697.0,55972.0,758.0,4866.0,0.2581175503493629,0.26177285318559557,0.05818181818181818
47137,5079.0,49030.0,564.0,3360.0,0.3550595238095238,0.16566682048915551,0.06764705882352941
47139,17898.0,62522.0,676.0,9064.0,0.18093556928508384,0.1640625,0.0528429772812853
47141,82558.0,58912.0,908.0,36506.0,0.07957596011614529,0.38805392696645935,0.03734791127452166
47143,33992.0,55033.0,839.0,15451.0,0.12788816257847388,0.28519480519480517,0.05831518780620577
47145,55208.0,71885.0,785.0,25680.0,0.11253894080996885,0.21891180342255376,0.04901608589789646
47147,75539.0,83047.0,1199.0,29824.0,0.0526086373390558,0.22378340116793488,0.0330672748004561
47149,360646.0,85470.0,1502.0,138929.0,0.0683658559408043,0.35181679813954925,0.03579684694069907
47151,22113.0,44711.0,686.0,9873.0,0.11323812417704851,0.2844089091947459,0.07451062934119133
47153,16809.0,58750.0,818.0,6992.0,0.11413043478260869,0.21989021633839198,0.06631221385319747
47155,99652.0,62581.0,1072.0,58967.0,0.3158207132803093,0.29310430299424944,0.03338070985826523
47157,919173.0,63767.0,1232.0,404333.0,0.10286570722646927,0.45862474878770254,0.07202457273097344
47159,20389.0,66293.0,922.0,8752.0,0.09369287020109689,0.23096318709026728,0.02662163504519718
47161,14027.0,63114.0,945.0,6718.0,0.20765108663292647,0.18936689836558332,0.027311615663047056
47163,160624.0,58807.0,889.0,76324.0,0.0971778208689272,0.2786219106912215,0.05430050985769246
47165,204424.0,90301.0,1424.0,83236.0,0.05591330674227498,0.2804331780814945,0.03564623617682721
