fips,year,permits
11001,2022,7705
11001,2023,3020
12001,2022,2982
12001,2023,1877
12003,2018,118
12003,2019,133
12003,2020,152
12003,2021,116
12003,2022,206
12003,2023,74
12005,2022,2288
12005,2023,2317
12007,2022,107
12007,2023,69
12009,2022,5249
12009,2023,6534
12011,2022,2322
12011,2023,2987
12013,2022,16
12013,2023,32
12015,2022,5676
12015,2023,4429
12017,2022,1551
12017,2023,1580
12019,2018,900
12019,2019,1320
12019,2020,1434
12019,2021,2273
12019,2022,1829
12019,2023,2451
12021,2022,5517
12021,2023,3633
12023,2022,214
12023,2023,182
12027,2022,252
12027,2023,153
12029,2018,33
12029,2019,35
12029,2020,43
12029,2021,52
12029,2022,55
12029,2023,50
12031,2018,7201
12031,2019,6940
12031,2020,8247
12031,2021,10091
12031,2022,11482
12031,2023,9809
12033,2018,1065
12033,2019,1640
12033,2020,2210
12033,2021,1960
12033,2022,1989
12033,2023,1050
12035,2022,3238
12035,2023,2529
12037,2022,114
12037,2023,109
12039,2022,166
12039,2023,97
12041,2022,137
12041,2023,119
12043,2022,124
12043,2023,50
12045,2022,299
12045,2023,278
12047,2022,27
12047,2023,17
12049,2022,85
12049,2023,73
12051,2022,703
12051,2023,535
12053,2018,1216
12053,2019,1123
12053,2020,1100
12053,2021,1905
12053,2022,1786
12053,2023,2030
12055,2022,663
12055,2023,712
12057,2018,9704
12057,2019,14422
12057,2020,12340
12057,2021,11281
12057,2022,17444
12057,2023,12716
12059,2022,11
12059,2023,12
12061,2022,1180
12061,2023,1009
12063,2022,131
12063,2023,133
12065,2022,88
12065,2023,73
12067,2018,14
12067,2019,9
12067,2020,34
12067,2021,36
12067,2022,40
12067,2023,39
12069,2022,5389
12069,2023,6303
12071,2018,9724
12071,2019,9100
12071,2020,10676
12071,2021,13394
12071,2022,13844
12071,2023,13556
12073,2018,1804
12073,2019,1953
12073,2020,1897
12073,2021,2211
12073,2022,2358
12073,2023,1990
12075,2022,195
12075,2023,271
12077,2022,25
12077,2023,15
12079,2022,52
12079,2023,31
12081,2018,4493
12081,2019,4724
12081,2020,5050
12081,2021,8117
12081,2022,8457
12081,2023,8106
12083,2022,6489
12083,2023,5197
12085,2022,1328
12085,2023,944
12086,2018,12272
12086,2019,10025
12086,2020,9915
12086,2021,13136
12086,2022,11590
12086,2023,12927
12087,2022,580
12087,2023,630
12089,2018,1322
12089,2019,1537
12089,2020,1438
12089,2021,1855
12089,2022,1433
12089,2023,1552
12091,2018,841
12091,2019,896
12091,2020,993
12091,2021,1351
12091,2022,1480
12091,2023,2802
12093,2022,26
12093,2023,9
12095,2018,13753
12095,2019,10861
12095,2020,11658
12095,2021,12871
12095,2022,12642
12095,2023,9064
12097,2018,9759
12097,2019,7937
12097,2020,5848
12097,2021,10003
12097,2022,7383
12097,2023,8255
12099,2022,5901
12099,2023,5415
12101,2018,3831
12101,2019,4568
12101,2020,5372
12101,2021,8905
12101,2022,7758
12101,2023,7653
12103,2018,2468
12103,2019,3445
12103,2020,1240
12103,2021,2735
