fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
01101,2022,1133.5643329095208,12,7.033122224322486,0.10102366678290409,9110.0,10804.0,152209.0,-1694.0,163013.0,163013.0,-0.010391809242207676,0.05588511345720894
01101,2023,1182.161360157056,12,7.075099703164061,0.04197747884157543,8711.0,10813.0,152179.0,-2102.0,162992.0,162992.0,-0.012896338470599783,0.05344434082654363
01101,2024,1245.7192101605112,12,7.127468320950401,0.05236861778633983,,,,,,,,
01101,2025,1302.84515046695,12,7.172305729285245,0.0448374083348444,,,,,,,,
01101,2026,1325.7082332484374,4,7.18970211127691,0.01739638199166471,,,,,,,,
01103,2022,937.1875146497235,10,6.84288338457491,,5558.0,4523.0,88827.0,1035.0,93350.0,93350.0,0.011087305838243171,0.05953936797000536
01103,2023,1012.5193126140626,12,6.920196872985513,0.07731348841060282,5149.0,4680.0,91205.0,469.0,95885.0,95885.0,0.004891276007717578,0.05369974448558169
01103,2024,1063.2118291639863,12,6.969049633337882,0.04885276035236874,,,,,,,,
01103,2025,1099.2844586923677,12,7.002414755026835,0.033365121688953,,,,,,,,
01103,2026,1108.6504056570288,4,7.010898703800737,0.008483948773902128,,,,,,,,
01109,2025,1111.8356623193656,3,7.013767678205124,,,,,,,,,
01109,2026,1115.1671277192913,4,7.016759562992989,0.00299188478786494,,,,,,,,
01113,2022,1209.355798176198,5,7.097843098615052,,4656.0,4734.0,36378.0,-78.0,41112.0,41112.0,-0.0018972562755399883,0.11325160537069469
01113,2023,1228.484656124008,12,7.113536701955686,0.015693603340634077,4826.0,4863.0,36840.0,-37.0,41703.0,41703.0,-0.0008872263386327122,0.11572308946598565
01113,2024,1292.5379003013288,12,7.164362929203211,0.050826227247524614,,,,,,,,
01113,2025,1358.3924639823686,12,7.214057267825535,0.04969433862232364,,,,,,,,
01113,2026,1361.7229135384168,4,7.216506025145022,0.002448757319487349,,,,,,,,
01115,2018,1216.8549271337652,9,7.104024880568751,,,,,,,,,
01115,2019,1248.3850649848725,12,7.129606046999905,0.025581166431154045,,,,,,,,
01115,2020,1299.2177707876056,12,7.169517647567874,0.03991160056796872,5622.0,4471.0,66267.0,1151.0,70738.0,70738.0,0.016271311035087225,0.07947637761881873
01115,2021,1376.1564429629516,12,7.2270497060443875,0.05753205847651355,5948.0,4462.0,64614.0,1486.0,69076.0,69076.0,0.021512536915860792,0.08610805489605652
01115,2022,1468.035872312407,12,7.291680645056016,0.06463093901162864,5840.0,4252.0,66877.0,1588.0,71129.0,71129.0,0.02232563370777039,0.08210434562555358
01115,2023,1544.6822770250556,12,7.342573522245345,0.05089287718932933,5431.0,4186.0,69795.0,1245.0,73981.0,73981.0,0.016828645192684608,0.07341074059555831
01115,2024,1616.0884375241865,12,7.387763963774327,0.04519044152898122,,,,,,,,
01115,2025,1687.571216451077,12,7.43104562419757,0.04328166042324355,,,,,,,,
01115,2026,1709.3661646076218,4,7.443877916811684,0.012832292614113783,,,,,,,,
01117,2015,1096.5392981684988,12,6.999914406858672,,,,,,,,,
01117,2016,1115.8288755481167,11,7.017352793861411,0.017438387002739475,,,,,,,,
01117,2017,1139.760366107088,12,7.038573314123117,0.021220520261706177,,,,,,,,
01117,2018,1168.294554491926,12,7.063300318659365,0.02472700453624732,,,,,,,,
01117,2019,1207.143690188466,12,7.096012261392622,0.032711942733257615,,,,,,,,
01117,2020,1252.6139820429696,12,7.132987832445562,0.036975571052940026,15145.0,11694.0,169111.0,3451.0,180805.0,180805.0,0.019086861535908852,0.08376427643040846
01117,2021,1352.474216199338,12,7.209690946730667,0.07670311428510512,13908.0,12053.0,164188.0,1855.0,176241.0,176241.0,0.010525360160235133,0.07891466798304594
01117,2022,1462.9244998105785,12,7.288192793270544,0.07850184653987657,13080.0,11396.0,169617.0,1684.0,181013.0,181013.0,0.009303199217735742,0.07226000342516836
01117,2023,1524.229662954562,12,7.329244422369614,0.04105162909907012,12493.0,10877.0,175902.0,1616.0,186779.0,186779.0,0.008651936245509398,0.06688653435343374
01117,2024,1580.061165278985,12,7.365218837473604,0.0359744151039898,,,,,,,,
01117,2025,1643.8230501802002,12,7.4047799361128614,0.03956109863925761,,,,,,,,
01117,2026,1659.908831515941,4,7.414517959068858,0.009738022955996684,,,,,,,,
01121,2023,1320.3765642362494,12,7.185672250833527,,3649.0,3249.0,54156.0,400.0,57405.0,57405.0,0.006968034143367302,0.06356589147286822
01121,2024,1380.7642843041028,12,7.230392454050328,0.04472020321680148,,,,,,,,
01121,2025,1413.4696012629463,12,7.2538026708981045,0.023410216847776333,,,,,,,,
01121,2026,1380.398644783887,4,7.230127609467272,-0.023675061430832756,,,,,,,,
01125,2016,947.0151893429347,8,6.853315132490325,,,,,,,,,
01125,2017,995.619312690157,12,6.903364968346837,0.05004983585651246,,,,,,,,
01125,2018,1015.8755418943398,12,6.923506122499425,0.020141154152588214,,,,,,,,
01125,2019,1052.2153441387586,12,6.958653072101192,0.03514694960176623,,,,,,,,
01125,2020,1082.1448308072092,12,6.986700305168839,0.02804723306764778,7312.0,7900.0,139663.0,-588.0,147563.0,147563.0,-0.003984738721766297,0.04955171689380129
01125,2021,1139.0898850910482,12,7.037984876128972,0.05128457096013239,6962.0,7645.0,133703.0,-683.0,141348.0,141348.0,-0.004832045731103376,0.04925432266462914
01125,2022,1240.2652676151397,12,7.123080561216367,0.08509568508739473,7348.0,7627.0,136062.0,-279.0,143689.0,143689.0,-0.0019416935186409537,0.051138222132522324
01125,2023,1324.2733883646445,12,7.1886192018617585,0.06553864064539194,7459.0,7908.0,139048.0,-449.0,146956.0,146956.0,-0.0030553362911347613,0.05075668907700264
01125,2024,1393.4041184051457,12,7.239505038243399,0.05088583638164046,,,,,,,,
01125,2025,1465.3035936432673,12,7.289817731137571,0.05031269289417217,,,,,,,,
01125,2026,1496.4035805300678,4,7.310819895233804,0.02100216409623279,,,,,,,,
